,Date,Demanda,VolUtil,Aportes,PrecioB,PrecioO,DispTer,DispNoTer
486,2017-05-01,6635495.041666667,10103566100.0,194943000.0,102.78847,252.06531384615383,3636427.0833333335,10238000.666666666
487,2017-05-02,7635922.109583333,10176181900.0,257640400.0,94.45510666666668,248.87275615384615,3652291.6666666665,10172977.666666666
488,2017-05-03,7788331.272083334,10180930600.0,189159100.0,90.48610166666668,247.08112153846156,3586708.333333333,9852691.541666666
489,2017-05-04,7924878.304583333,10220532000.0,229559400.0,87.153725,245.96431384615383,3558416.6666666665,9846940.75
490,2017-05-05,7883164.232916667,10271742300.0,226551700.0,78.22029333333334,245.61492923076923,3527416.6666666665,9749991.333333334
491,2017-05-06,7358827.663333333,10482883700.0,429693500.0,74.39287166666666,246.2452946153846,3457416.6666666665,9725262.541666666
492,2017-05-07,6567472.03125,10591936500.0,287031600.0,73.79266666666666,247.9152176923077,3457416.6666666665,9307686.375
493,2017-05-08,7541862.030416666,10756067500.0,408884000.0,78.49614,240.92756384615384,3404942.333333333,9678525.333333334
494,2017-05-09,7620193.097916666,10813048300.0,295138200.0,70.093325,238.51794846153845,3577875.0,9662345.041666666
495,2017-05-10,7790836.513750001,10966802500.0,395071200.0,67.120875,238.4694869230769,3508980.5416666665,9762130.25
496,2017-05-11,7799265.142083333,11087567600.0,338703700.0,63.50152,231.9643907692308,3670231.9166666665,9748243.458333334
497,2017-05-12,7773421.41125,11197365300.0,322806600.0,66.53860999999999,231.85092923076925,3721639.5416666665,9739348.041666666
498,2017-05-13,7349025.755833332,11325304900.0,370098500.0,64.67113833333333,229.90419846153844,3480222.208333333,9564151.291666666
499,2017-05-14,6534966.852916666,11495102200.0,415122100.0,65.96291,229.56306384615385,3490958.333333333,9753068.583333334
500,2017-05-15,7616925.39,11664301600.0,476524100.0,65.35733666666667,229.68462153846156,3523541.6666666665,9439769.291666666
501,2017-05-16,7700368.603333333,11805775200.0,449796000.0,70.13129166666667,230.88841,3639500.0,9567115.125
502,2017-05-17,7776025.174583334,11868909800.0,377421500.0,66.63589166666667,228.67573692307693,3631708.3333333335,10290949.75
503,2017-05-18,7886260.259166666,11959348900.0,427235800.0,66.58360333333333,229.10137153846156,3642000.0,10209985.833333334
504,2017-05-19,8008820.013750001,11993093400.0,288668800.0,65.32974333333333,227.67283307692307,3523864.5416666665,10325662.333333334
505,2017-05-20,7538136.353333333,12049894700.0,275886300.0,64.85526,228.4808907692308,3530932.625,10233614.333333334
506,2017-05-21,6749353.243333333,12135866900.0,276843300.0,62.79466666666666,229.05525615384616,3472559.0,10229724.791666666
507,2017-05-22,7697327.299166667,12244969600.0,300706300.0,66.03236666666668,228.3357369230769,3366109.708333333,9997624.083333334
508,2017-05-23,7858619.084583334,12259049900.0,212639100.0,64.89450166666667,227.7612369230769,3635758.3333333335,9896804.583333334
509,2017-05-24,7967516.41,12265146800.0,199643300.0,64.04331,229.96675615384612,3632000.0,9848831.833333334
510,2017-05-25,8060826.337916668,12260547400.0,184868200.0,66.72136166666667,230.35562153846152,3608808.3333333335,10001881.083333334
511,2017-05-26,7966037.835833333,12237939600.0,157230900.0,68.31793333333333,230.86881384615387,3655576.375,9974556.125
512,2017-05-27,7455108.427499999,12242154300.0,167270500.0,67.69069333333333,230.63796769230768,3726000.0,10076343.75
513,2017-05-28,6644903.861666667,12251241900.0,142167900.0,67.49597,233.9533523076923,3558500.0,10091915.958333334
514,2017-05-29,6669665.166666667,12266679100.0,147341200.0,69.18513,234.6282176923077,3482000.0,10027834.666666666
515,2017-05-30,7753582.162916667,12291193600.0,217131700.0,66.29601333333333,233.9950446153846,3535333.333333333,9782178.916666666
516,2017-05-31,7861365.552499999,12304581900.0,204148900.0,81.12592666666667,233.5079292307692,3728395.8333333335,9822477.541666666
